station,depths,vol_acid,emf_values,sample_mass,titration_temp,salinity,acid_conc,pH
S#,m,ml,mV,g,degC,PSS-78,mol/kg,
junk,,3.657,178.5,133.2,22,,0.05,3.57
junk,,3.707,180.9,133.2,22,,0.05,3.53
junk,,3.751,183,133.2,22,,0.05,3.49
junk,,3.801,185.2,133.2,22,,0.05,3.46
junk,,3.851,187.1,133.2,22,,0.05,3.42
junk,,3.901,189,133.2,22,,0.05,3.39
junk,,3.952,190.9,133.2,22,,0.05,3.36
junk,,4.002,192.3,133.2,22,,0.05,3.34
junk,,4.052,193.9,133.2,22,,0.05,3.31
junk,,4.102,195.2,133.2,22,,0.05,3.29
junk,,4.152,196.6,133.2,22,,0.05,3.26
junk,,4.203,197.9,133.2,22,,0.05,3.24
junk,,4.253,199.1,133.2,22,,0.05,3.22
junk,,4.303,200.3,133.2,22,,0.05,3.2
junk,,4.353,201.4,133.2,22,,0.05,3.18
junk,,4.403,202.5,133.2,22,,0.05,3.16
junk,,4.453,203.5,133.2,22,,0.05,3.15
junk,,4.503,204.4,133.2,22,,0.05,3.13
junk,,4.553,205.3,133.2,22,,0.05,3.11
junk,,4.604,206.3,133.2,22,,0.05,3.1
junk,,4.654,207.1,133.2,22,,0.05,3.08
junk,,4.704,208,133.2,22,,0.05,3.07
junk,,4.755,208.8,133.2,22,,0.05,3.06
junk,,4.805,209.7,133.2,22,,0.05,3.04
junk,,4.855,210.3,133.2,22,,0.05,3.03
junk,,4.905,211.2,133.2,22,,0.05,3.02
junk,,4.955,211.9,133.2,22,,0.05,3
junk,,5.000,212.5,133.2,22,,0.05,2.99
std1,,3.961,183,133.9,22,32.71,0.05,3.49
std1,,4.011,185,133.9,22,32.71,0.05,3.46
std1,,4.061,187,133.9,22,32.71,0.05,3.42
std1,,4.111,188.8,133.9,22,32.71,0.05,3.4
std1,,4.161,190.6,133.9,22,32.71,0.05,3.37
std1,,4.211,192.3,133.9,22,32.71,0.05,3.34
std1,,4.261,193.7,133.9,22,32.71,0.05,3.31
std1,,4.311,195.1,133.9,22,32.71,0.05,3.29
std1,,4.361,196.4,133.9,22,32.71,0.05,3.26
std1,,4.412,197.8,133.9,22,32.71,0.05,3.24
std1,,4.461,199,133.9,22,32.71,0.05,3.22
std1,,4.511,200.2,133.9,22,32.71,0.05,3.2
std1,,4.561,201.3,133.9,22,32.71,0.05,3.18
std1,,4.611,202.4,133.9,22,32.71,0.05,3.16
std1,,4.661,203.2,133.9,22,32.71,0.05,3.14
std1,,4.704,204.2,133.9,22,32.71,0.05,3.13
std1,,4.754,203.2,133.9,22,32.71,0.05,3.12
std1,,4.804,206.1,133.9,22,32.71,0.05,3.1
std1,,4.854,207,133.9,22,32.71,0.05,3.09
std1,,4.904,207.7,133.9,22,32.71,0.05,3.07
std1,,4.954,208.7,133.9,22,32.71,0.05,3.06
std1,,5,209.4,133.9,22,32.71,0.05,3.05
std1,,5.051,210.1,133.9,22,32.71,0.05,3.03
std1,,5.1,210.9,133.9,22,32.71,0.05,3.02
std1,,5.151,211.6,133.9,22,32.71,0.05,3.01
std1,,5.2,212.3,133.9,22,32.71,0.05,3
std1,,5.25,213,133.9,22,32.71,0.05,2.99
S2.5,0,2.451,183.5,128.99,22,15.283,0.05,3.49
S2.5,0,2.501,185.8,128.99,22,15.283,0.05,3.45
S2.5,0,2.55,187.7,128.99,22,15.283,0.05,3.41
S2.5,0,2.601,189.5,128.99,22,15.283,0.05,3.38
S2.5,0,2.655,191.4,128.99,22,15.283,0.05,3.35
S2.5,0,2.705,193,128.99,22,15.283,0.05,3.32
S2.5,0,2.755,194.5,128.99,22,15.283,0.05,3.3
S2.5,0,2.805,196,128.99,22,15.283,0.05,3.28
S2.5,0,2.855,197.2,128.99,22,15.283,0.05,3.25
S2.5,0,2.905,198.5,128.99,22,15.283,0.05,3.23
S2.5,0,2.955,199.8,128.99,22,15.283,0.05,3.21
S2.5,0,3.005,200.9,128.99,22,15.283,0.05,3.19
S2.5,0,3.055,202.1,128.99,22,15.283,0.05,3.17
S2.5,0,3.105,203,128.99,22,15.283,0.05,3.15
S2.5,0,3.155,204,128.99,22,15.283,0.05,3.14
S2.5,0,3.205,205,128.99,22,15.283,0.05,3.12
S2.5,0,3.255,206,128.99,22,15.283,0.05,3.1
S2.5,0,3.305,207,128.99,22,15.283,0.05,3.09
S2.5,0,3.355,207.8,128.99,22,15.283,0.05,3.07
S2.5,0,3.405,208.6,128.99,22,15.283,0.05,3.06
S2.5,0,3.455,209.4,128.99,22,15.283,0.05,3.05
S2.5,0,3.505,210.2,128.99,22,15.283,0.05,3.03
S2.5,0,3.555,211,128.99,22,15.283,0.05,3.02
S2.5,0,3.605,211.8,128.99,22,15.283,0.05,3.01
S2.5,0,3.655,212.4,128.99,22,15.283,0.05,2.99
S2.5,60,3.796,183.8,133.65,22,29.916,0.05,3.48
S2.5,60,3.895,187.6,133.65,22,29.916,0.05,3.42
S2.5,60,3.952,189.7,133.65,22,29.916,0.05,3.38
S2.5,60,4,191.2,133.65,22,29.916,0.05,3.35
S2.5,60,4.05,192.8,133.65,22,29.916,0.05,3.33
S2.5,60,4.100,194.3,133.65,22,29.916,0.05,3.3
S2.5,60,4.15,195.6,133.65,22,29.916,0.05,3.28
S2.5,60,4.201,196.9,133.65,22,29.916,0.05,3.26
S2.5,60,4.25,198.2,133.65,22,29.916,0.05,3.24
S2.5,60,4.3,199.4,133.65,22,29.916,0.05,3.22
S2.5,60,4.35,200.6,133.65,22,29.916,0.05,3.2
S2.5,60,4.4,201.7,133.65,22,29.916,0.05,3.18
S2.5,60,4.451,202.7,133.65,22,29.916,0.05,3.16
S2.5,60,4.5,203.7,133.65,22,29.916,0.05,3.14
S2.5,60,4.551,204.7,133.65,22,29.916,0.05,3.13
S2.5,60,4.6,205.6,133.65,22,29.916,0.05,3.11
S2.5,60,4.65,206.5,133.65,22,29.916,0.05,3.1
S2.5,60,4.7,207.3,133.65,22,29.916,0.05,3.08
S2.5,60,4.751,208.2,133.65,22,29.916,0.05,3.07
S2.5,60,4.8,209,133.65,22,29.916,0.05,3.05
S2.5,60,4.85,209.8,133.65,22,29.916,0.05,3.04
S2.5,60,4.9,210.5,133.65,22,29.916,0.05,3.03
S2.5,60,4.95,211.3,133.65,22,29.916,0.05,3.01
S2.5,60,5,211.9,133.65,22,29.916,0.05,3
S2.5,60,5.05,212.6,133.65,22,29.916,0.05,2.99
S2.5,105,3.84,182.6,131,22,31.233,0.05,3.5
S2.5,105,3.9,185.2,131,22,31.233,0.05,3.46
S2.5,105,3.95,187.3,131,22,31.233,0.05,3.42
S2.5,105,4,189.1,131,22,31.233,0.05,3.39
S2.5,105,4.05,190.8,131,22,31.233,0.05,3.36
S2.5,105,4.101,192.5,131,22,31.233,0.05,3.33
S2.5,105,4.151,194,131,22,31.233,0.05,3.31
S2.5,105,4.201,195.4,131,22,31.233,0.05,3.28
S2.5,105,4.251,196.7,131,22,31.233,0.05,3.26
S2.5,105,4.301,198.1,131,22,31.233,0.05,3.24
S2.5,105,4.351,199.3,131,22,31.233,0.05,3.22
S2.5,105,4.401,200.5,131,22,31.233,0.05,3.2
S2.5,105,4.451,201.6,131,22,31.233,0.05,3.18
S2.5,105,4.501,202.7,131,22,31.233,0.05,3.16
S2.5,105,4.552,203.8,131,22,31.233,0.05,3.14
S2.5,105,4.601,204.7,131,22,31.233,0.05,3.13
S2.5,105,4.652,205.7,131,22,31.233,0.05,3.11
S2.5,105,4.701,206.5,131,22,31.233,0.05,3.09
S2.5,105,4.751,207.4,131,22,31.233,0.05,3.08
S2.5,105,4.801,208.3,131,22,31.233,0.05,3.06
S2.5,105,4.851,209.2,131,22,31.233,0.05,3.05
S2.5,105,4.9,209.9,131,22,31.233,0.05,3.04
S2.5,105,4.95,210.8,131,22,31.233,0.05,3.02
S2.5,105,5,211.5,131,22,31.233,0.05,3.01
S2.5,105,5.051,212.2,131,22,31.233,0.05,3
S.25,105,5.1,212.9,131,22,31.233,0.05,2.99
S2.5,120,4.125,180.6,137.15,22,31.326,0.05,3.53
S2.5,120,4.173,182.9,137.15,22,31.326,0.05,3.5
S2.5,120,4.23,185.2,137.15,22,31.326,0.05,3.46
S2.5,120,4.28,187.1,137.15,22,31.326,0.05,3.42
S2.5,120,4.33,188.9,137.15,22,31.326,0.05,3.39
S2.5,120,4.38,190.5,137.15,22,31.326,0.05,3.37
S2.5,120,4.43,192.1,137.15,22,31.326,0.05,3.34
S2.5,120,4.48,193.6,137.15,22,31.326,0.05,3.31
